,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
0,bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,1.0,19464825,1,21000000.0,429292.0,1.0,1.0,0.0,0.0,882.0,0.00453,19464825.0,21000000.0,21000000.0,1.003301,-0.32896,2019-10-15T16:00:56.136Z,0.99895134,0.10498,2019-10-21T00:00:00.000Z,,2023-08-22T14:48:39.811Z,,,
1,ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,0.06369518,7659869,2,7659869.0,233367.0,0.06420237,0.06368663,-0.000487869548842154,-0.76012,-53157.25672986917,-0.68919,120211067.730788,120211067.730788,,0.1474984,-56.79822,2017-06-12T00:00:00.000Z,0.00160204,3877.54001,2015-10-20T00:00:00.000Z,,2023-08-22T14:48:41.598Z,84.16081059813243,btc,8416.081059813243
2,tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1668148663,3.846e-05,3185396,3,3185396.0,672249.0,3.858e-05,3.817e-05,1.68001e-07,0.4387,8694.0,0.27367,82846484080.7792,82846484080.7792,,0.0051026,-99.24647,2015-02-25T00:00:00.000Z,1.457e-05,163.83113,2021-11-10T17:47:29.153Z,,2023-08-22T14:45:00.859Z,,,
3,binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1644979850,0.00795916,1226172,4,1593920.0,22792.0,0.00810214,0.00794961,-9.0096398466423e-05,-1.11931,-13788.71368154441,-1.11203,153856150.0,153856150.0,200000000.0,0.01916831,-58.42218,2022-11-27T02:54:58.041Z,6.99e-06,113916.64128,2017-10-19T00:00:00.000Z,,2023-08-22T14:48:42.399Z,,,
4,ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,1.968e-05,1040298,5,1968701.0,43606.0,2.015e-05,1.966e-05,-4.58266891888e-07,-2.27562,-25550.799689578474,-2.39722,52841868447.0,99988501123.0,100000000000.0,0.00022465,-91.23614,2017-05-17T00:00:00.000Z,4.38e-06,349.54021,2017-03-01T00:00:00.000Z,,2023-08-22T14:48:35.487Z,,,
5,usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,3.847e-05,995933,6,995449.0,147176.0,3.854e-05,3.814e-05,1.4429e-07,0.37644,422.362,0.04243,25878304788.1563,25865733081.3512,,0.00033582,-88.54001,2018-12-08T12:54:40.339Z,1.457e-05,164.05169,2021-11-10T17:58:58.999Z,,2023-08-22T14:48:37.075Z,,,
6,staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,0.06379434,530129,7,530514.0,592.993,0.06418636,0.06377566,-0.000358030044940685,-0.55809,204.966,0.03868,8304697.85505221,8310729.17478524,8310729.17478524,0.08759959,-27.12671,2021-12-09T03:45:24.093Z,0.02099117,204.11218,2020-12-22T04:08:21.854Z,,2023-08-22T14:48:39.878Z,,,
7,cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,9.87e-06,346077,8,444384.0,6612.0,1.023e-05,9.87e-06,-3.57293323059e-07,-3.49422,-12455.211505862826,-3.47395,35045020830.3234,45000000000.0,45000000000.0,7.382e-05,-86.62188,2018-01-04T00:00:00.000Z,2.95e-06,234.76246,2017-11-04T00:00:00.000Z,,2023-08-22T14:48:40.542Z,,,
8,dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,2.4e-06,338141,9,338142.0,10858.0,2.42e-06,2.37e-06,-4.196777676e-09,-0.17469,289.656,0.08573,140694996383.705,140695076383.705,,1.264e-05,-80.987,2021-05-07T23:04:53.026Z,1.50936e-07,1492.46762,2020-12-17T09:18:05.654Z,,2023-08-22T14:48:40.874Z,,,
9,solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1640133422,0.00080091,326995,10,445571.0,11998.0,0.00081812,0.00079816,-1.505224356994e-05,-1.84473,-5145.475404694909,-1.54919,407642925.653461,555463710.445793,,0.00460798,-82.60079,2021-09-09T02:24:33.650Z,4.553e-05,1660.90118,2020-12-27T11:19:57.793Z,,2023-08-22T14:48:45.822Z,,,
10,tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,2.87e-06,256796,11,256796.0,6220.0,2.89e-06,2.86e-06,3.608e-09,0.12584,469.416,0.18313,89404112167.8233,89404143711.1259,,1.367e-05,-78.99801,2018-01-04T00:00:00.000Z,1.75539e-07,1535.60204,2017-12-05T00:00:00.000Z,,2023-08-22T14:48:42.380Z,38.28855599425746,usd,3828.855599425746
11,polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1639712644,0.00016855,213690,12,227347.0,4001.0,0.000171,0.00016846,-2.382512546826e-06,-1.39383,-2794.27103800638,-1.29075,1266569520.48431,1347518653.3839,,0.00101334,-83.3585,2021-05-19T11:02:56.921Z,0.00015822,6.58216,2023-06-21T16:50:16.947Z,,2023-08-22T14:48:37.692Z,,,
12,matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,2.06e-05,192067,13,206092.0,10543.0,2.168e-05,2.052e-05,-1.048730046385e-06,-4.84438,-9599.2098959797,-4.75995,9319469069.28493,10000000000.0,10000000000.0,6.557e-05,-68.57099,2022-11-11T01:11:41.513Z,5.09178e-07,3947.54736,2019-05-10T00:00:00.000Z,,2023-08-22T14:48:38.377Z,202.6854754537855,usd,20268.54754537855
