,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
0,bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,25993.0,505963641716,1,545867378912.0,10090989178.0,26206.0,25916.0,76.31,0.29446,2260072138.0,0.44869,19464868.0,21000000.0,21000000.0,69045.0,-62.34951,2021-11-10T14:24:11.849Z,67.81,38236.63991,2013-07-06T00:00:00.000Z,,2023-08-22T15:35:22.094Z,,,
1,ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,1656.87,199133921876,2,199133921876.0,5545957660.0,1674.64,1654.05,0.785032,0.0474,242120991.0,0.12174,120211067.730788,120211067.730788,,4878.26,-66.06229,2021-11-10T14:24:19.604Z,0.432979,382267.41766,2015-10-20T00:00:00.000Z,,2023-08-22T15:35:23.920Z,84.2256832815661,btc,8422.56832815661
2,tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1668148663,0.999464,82799734587,3,82799734587.0,16272319614.0,1.001,0.997353,0.00155443,0.15577,-83500020.33900452,-0.10074,82846484080.7792,82846484080.7792,,1.32,-24.44698,2018-07-24T00:00:00.000Z,0.572521,74.60294,2015-03-02T00:00:00.000Z,,2023-08-22T15:35:01.482Z,,,
3,binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1644979850,207.77,31928758385,4,41504689133.0,592283094.0,211.9,206.8,0.15802,0.07611,-24524177.682300568,-0.07675,153856150.0,153856150.0,200000000.0,686.31,-69.7839,2021-05-10T07:24:17.097Z,0.0398177,520711.31177,2017-10-19T00:00:00.000Z,,2023-08-22T15:35:24.247Z,,,
4,ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.51475,27172484049,5,51422262020.0,1073134230.0,0.524795,0.510545,0.00289876,0.56633,153547597.0,0.5683,52841868447.0,99988501123.0,100000000000.0,3.4,-84.88099,2018-01-07T00:00:00.000Z,0.00268621,19027.79333,2014-05-22T00:00:00.000Z,,2023-08-22T15:35:24.001Z,,,
5,usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,0.999984,25885022308,6,25859843988.0,3673210222.0,1.001,0.996666,0.0011873,0.11887,6819344.0,0.02635,25890917134.4843,25865733081.3512,,1.17,-14.71615,2019-05-08T00:40:28.300Z,0.877647,13.95576,2023-03-11T08:02:13.981Z,,2023-08-22T15:35:21.134Z,,,
6,staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,1657.63,13791373961,7,13779508437.0,12506792.0,1674.57,1653.88,0.858179,0.0518,121334429.0,0.88759,8317885.5373357,8317885.5373357,8310729.17478524,4829.57,-65.66458,2021-11-10T14:40:47.256Z,482.9,243.39745,2020-12-22T04:08:21.854Z,,2023-08-22T15:35:19.537Z,,,
7,cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,0.257178,9009907532,8,11569285146.0,159169192.0,0.265123,0.256498,-0.005179761334914657,-1.97432,-145075375.07770538,-1.58466,35045020830.3234,45000000000.0,45000000000.0,3.09,-91.67813,2021-09-02T06:00:10.474Z,0.01925275,1234.29579,2020-03-13T02:22:55.044Z,,2023-08-22T15:35:19.428Z,,,
8,dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.06262,8802605092,9,8802575686.0,249398889.0,0.063199,0.061386,0.00108212,1.75847,177816741.0,2.06169,140695546383.705,140695076383.705,,0.731578,-91.45796,2021-05-08T05:08:23.458Z,8.69e-05,71809.09979,2015-05-06T00:00:00.000Z,,2023-08-22T15:35:19.228Z,,,
9,solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1640133422,20.85,8489717528,10,11568287315.0,286736659.0,21.37,20.72,0.077849,0.37476,38969393.0,0.46114,407642883.553882,555463710.445793,,259.96,-91.98267,2021-11-06T21:54:35.825Z,0.500801,4061.68768,2020-05-11T19:35:23.449Z,,2023-08-22T15:35:15.712Z,,,
